"NCT","Brief_Title","Year","Phase","Sponsor_Class","Registry_Source","Status","Enrollment","Modality","Radiation","Strict_GBM_Only","Pediatric_title","NCO","NCO_strict","NCO_Designation","NCO_Instruments","HRQoL","HRQoL_Designation","HRQoL_Instruments"
"NCT05653635","Contribution From PET-DOPA in Glioblastoma Re-irradiation - A Randomized Phase II Study",2026,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",54,"Radiation",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; qlq-bn20; qlq-c30; quality of life"
"NCT05303519","SIGMA (Safusidenib in IDH1 Mutant Glioma Maintenance)",2023,"PHASE3","Industry","US","RECRUITING",365,"Targeted / Small Molecule",0,"No",FALSE,0,0,"None","None",1,"Secondary","fact-br; functional assessment of cancer therapy; health-related quality; quality of life"
"NCT00075387","Combination Chemotherapy With or Without Sodium Thiosulfate in Preventing Low Platelet Count While Treating Patients With Malignant Brain Tumors",2003,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",48,"Cytotoxic Chemotherapy",0,"No",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT06558214","OPTIMUS PRIME: Safety and Feasibility of OPTune GIO® Integrated With MRI-gUided Laser Ablation Surgery and Pembrolizumab for Recurrent GlIoblastoMa, A randomizEd Trial",2024,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",20,"Surgical; Tumor Treating Fields; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT05118776","Study to Evaluate the Safety and Efficacy of ASC40 Tablets in Combination With Bevacizumab in Subjects With rGBM",2022,"PHASE3","Industry","US","ACTIVE_NOT_RECRUITING",136,"Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT05842746","Elemene Plus Stupp Protocol Versus Stupp Protocol Alone for Newly-diagnosed Glioblastoma",2023,"PHASE2","Academic/Investigator-Initiated","US","NOT_YET_RECRUITING",74,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02781792","Temozolomide Chronotherapy for High Grade Glioma",2016,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",42,"Cytotoxic Chemotherapy",0,"No",FALSE,0,0,"None","None",1,"Secondary","fact-br; quality of life"
"NCT05753007","A Clinical Trial of a Hemp-Derived, High Cannabidiol Product for Anxiety in Glioblastoma Patients",2024,"PHASE2","Academic/Investigator-Initiated","US","TERMINATED",2,"Other / Investigational",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01164189","Bevacizumab in Recurrent Grade II and III Glioma",2011,"PHASE2","Government/Cooperative Group","US","COMPLETED",155,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"No",FALSE,1,0,"Secondary","Domain named, tool unspecified",1,"Secondary","quality of life"
"NCT01067469","Standard Dose Bevacizumab Versus Low Dose Bevacizumab Plus Lomustine (CCNU) for Recurrent Glioblastoma Multiforme (GBM)",2010,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",83,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04959500","Newly Diagnosed Glioblastoma",2021,"PHASE2","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",150,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04175301","Effect H2 Water on QoL of Patients Receiving Radiotherapy for High Grade Gliomas.",2019,"PHASE2","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",15,"Radiation",1,"No",FALSE,1,1,"Secondary","mini-mental; mmse",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30; quality of life"
"NCT00820963","Standard Radiation Therapy, Higher-Dose Radiation Therapy, or Chemotherapy in Treating Older Patients With Glioblastoma Multiforme",2006,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",70,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00615186","Glioblastoma Multiforme (GBM) Locoregional Agent Survival Study - Anti-tenascin Radiolabeled Antibody Therapy",2008,"PHASE3","Industry","US","TERMINATED",9,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
