NCT,NCO,HRQoL,Phase,Sponsor_Class,Registration_Year,Radiation,Registry_Source,Strict_GBM_Only
NCT00052455,0,1,PHASE3,Academic/Investigator-Initiated,2002,0,US,No
NCT02926222,0,1,PHASE2,Academic/Investigator-Initiated,2015,0,US,Yes
NCT06359379,0,0,PHASE2,Industry,2024,1,US,Yes
NCT01068782,0,0,PHASE2,Industry,2010,0,US,Yes
NCT01285414,0,0,PHASE2,Industry,2010,1,US,Yes
NCT06160206,0,0,PHASE2,Academic/Investigator-Initiated,2024,1,US,Yes
NCT01602588,0,0,PHASE2,Academic/Investigator-Initiated,2013,1,US,No
NCT02177578,1,1,PHASE2,Academic/Investigator-Initiated,2014,1,US,Yes
NCT00814593,0,0,PHASE2,Industry,2008,0,US,Yes
NCT01308632,0,0,PHASE2/PHASE3,Academic/Investigator-Initiated,2007,0,US,Yes
NCT01213407,0,1,PHASE2,Industry,2010,1,US,No
NCT04729959,0,0,PHASE2,Government/Cooperative Group,2022,1,US,Yes
NCT07628062,0,0,PHASE2,Industry,2026,1,US,Yes
NCT01986348,0,0,PHASE2,Industry,2014,0,US,Yes
NCT06749925,1,1,PHASE3,Academic/Investigator-Initiated,2026,0,US,Yes
NCT02892708,0,0,PHASE3,Academic/Investigator-Initiated,2008,1,US,No
NCT04450160,0,1,PHASE2,Industry,2020,0,US,Yes
NCT02799238,0,0,PHASE2,Industry,2016,1,US,Yes
NCT00980343,0,0,PHASE2,Government/Cooperative Group,2010,0,US,Yes
NCT00271609,0,0,PHASE2,Government/Cooperative Group,2005,0,US,No
NCT03014804,0,1,PHASE2,Academic/Investigator-Initiated,2019,0,US,No
NCT03395587,1,1,PHASE2,Academic/Investigator-Initiated,2018,0,US,Yes
NCT00727506,0,0,PHASE2,Industry,2008,0,US,Yes
NCT04469699,1,1,PHASE2,Academic/Investigator-Initiated,2021,0,US,Yes
NCT00278278,0,0,PHASE3,Academic/Investigator-Initiated,2003,1,US,No
NCT06336291,0,0,PHASE2,Industry,2024,0,US,Yes
NCT00200161,0,0,PHASE2,Academic/Investigator-Initiated,2005,1,US,Yes
NCT00521482,0,0,PHASE2,Academic/Investigator-Initiated,2007,0,US,Yes
NCT07365280,0,0,PHASE2,Industry,2026,1,US,Yes
NCT05718466,0,0,PHASE3,Academic/Investigator-Initiated,2010,1,US,Yes
NCT04485949,0,0,PHASE2,Industry,2023,1,US,Yes
NCT01303835,1,1,PHASE2,Academic/Investigator-Initiated,2011,0,US,No
NCT00295815,0,0,PHASE3,Industry,2006,0,US,Yes
NCT00943826,0,1,PHASE3,Industry,2009,1,US,Yes
NCT06477939,0,1,PHASE3,Academic/Investigator-Initiated,2025,1,US,Yes
NCT07708961,0,0,PHASE2,Academic/Investigator-Initiated,2026,0,US,Yes
NCT01632228,0,0,PHASE2,Industry,2012,0,US,Yes
